IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
22.80,2.34,0.35,0.627,0.852,0.29
13.80,2.15,0.42,0.631,0.770,0.20
10.20,2.26,0.58,0.631,0.770,0.20
8.54,2.56,1.22,1.106,1.325,0.28
28.70,3.62,0.36,0.673,0.889,0.25
19.80,2.34,0.37,0.669,0.848,0.24
26.80,1.93,0.36,0.921,1.245,0.41
9.21,1.52,0.47,0.833,1.147,0.43
20.00,2.13,0.36,0.644,0.953,0.43
20.90,5.40,0.66,6.033,5.587,2.18
16.80,5.09,0.46,4.609,4.301,1.92
8.50,2.49,0.76,5.760,5.491,1.87
11.10,2.11,0.81,5.672,5.311,2.17
5.51,3.59,1.27,6.783,6.431,1.80
13.10,5.68,0.61,5.749,6.486,2.71
18.20,5.90,0.40,5.838,6.419,2.92
21.90,8.42,0.59,4.395,6.475,3.11
25.30,3.71,0.68,5.374,7.719,4.70
29.01,6.11,0.81,4.700,5.830,3.31
12.70,4.87,1.36,6.232,7.682,3.22
29.50,4.13,0.72,4.322,5.263,2.84
29.50,4.13,0.72,4.323,5.264,2.84
7.11,5.02,1.60,1.316,3.366,2.82
22.40,2.40,0.56,0.874,1.120,0.37
5.32,1.36,1.52,1.221,1.509,0.12
41.20,3.52,0.36,0.665,1.006,0.38
7.75,2.31,1.48,3.450,3.910,1.65
31.30,6.72,0.84,3.101,6.360,4.28
21.20,3.71,0.84,3.400,5.720,2.95
9.33,3.78,1.23,4.420,7.270,3.45
36.60,6.69,0.64,5.368,7.071,3.56
31.90,6.02,0.68,5.320,7.304,3.78
39.60,5.78,0.52,5.304,6.503,3.25
8.41,6.50,1.02,2.338,2.683,0.38
9.58,5.45,0.90,2.073,2.285,0.25
6.34,4.15,1.09,1.941,2.670,0.94
4.66,3.49,2.43,1.970,2.090,0.15
1.80,2.15,3.80,2.408,2.775,1.66
12.90,6.42,0.78,2.527,3.476,4.96
5.43,2.71,1.45,2.950,4.558,4.61
1.42,1.79,2.88,2.936,3.466,3.07
1.09,1.77,2.38,1.518,2.831,2.94
14.70,2.80,0.66,1.410,2.800,4.56
0.42,2.17,3.95,3.100,3.008,1.47
11.80,3.65,0.74,1.382,1.719,1.03
7.12,2.66,1.74,1.310,1.430,0.14
2.89,1.17,0.43,1.230,1.329,0.09
4.42,3.01,2.74,1.633,1.913,0.54
6.32,1.26,0.71,1.092,1.237,0.52
10.30,4.03,1.48,1.210,1.280,0.18
2.06,1.38,0.63,1.597,1.783,0.28
17.50,6.35,0.57,1.689,1.956,2.14
7.90,3.29,0.92,2.538,2.774,0.99
12.00,2.42,0.50,3.069,3.220,1.25
13.30,3.50,0.64,2.175,2.391,1.27
25.40,6.15,0.44,1.680,1.780,0.10
7.96,3.52,0.61,1.178,1.754,0.79
3.99,3.46,2.78,2.840,2.900,-0.10
5.15,3.42,2.37,1.920,2.079,0.01
7.29,3.01,1.58,3.623,3.746,-0.01
4.49,2.09,0.67,0.619,0.652,0.05
15.10,3.91,0.43,12.045,10.528,6.88
16.70,4.05,0.41,5.299,4.629,1.51
18.50,6.13,0.42,6.679,5.999,1.78
6.67,4.66,0.62,1.310,1.385,0.12
4.54,2.05,0.75,0.681,0.716,0.04
4.89,2.17,0.53,0.832,0.912,0.13
17.10,3.38,0.56,3.683,6.601,3.85
24.20,5.83,0.52,3.992,6.427,3.39
16.20,2.64,0.58,4.300,6.650,1.34
26.40,3.13,0.47,0.515,0.625,0.14
15.68,5.11,0.77,0.733,0.827,0.11
16.60,7.05,0.46,1.563,1.609,0.26
11.60,4.44,0.70,3.678,4.040,0.98
11.30,5.10,0.65,1.693,1.826,0.27
11.30,4.21,0.65,1.610,1.726,0.12
2.22,5.00,7.29,4.364,4.338,-0.14
15.30,5.69,0.54,1.452,1.527,-0.05
3.72,3.13,1.13,1.365,1.690,0.55
28.90,7.22,0.55,4.180,6.500,4.55
14.60,5.85,1.02,5.890,8.530,5.10
20.40,5.17,0.77,1.076,2.369,1.52
11.80,2.37,1.30,2.153,2.209,-0.04
6.18,2.52,0.89,1.003,1.101,0.12
8.01,2.21,1.16,1.099,1.820,0.75
40.50,3.69,0.41,0.609,0.940,0.35
0.55,2.41,6.96,7.225,8.439,6.50
2.23,3.31,5.50,4.940,6.967,5.93
0.98,2.40,7.44,5.582,7.094,5.53
7.49,1.79,0.83,2.549,5.629,7.76
16.10,3.08,0.88,1.545,1.792,0.36
8.71,2.33,1.10,1.191,1.645,0.76
31.90,3.87,0.38,1.058,1.835,2.37
6.54,2.25,1.31,2.915,2.134,1.02
3.85,2.50,3.48,2.963,2.755,0.96
25.40,7.41,0.54,1.060,1.050,0.15
22.50,4.44,0.59,1.950,2.146,0.63
11.70,2.56,0.78,1.787,2.077,0.58
4.13,2.09,0.96,1.153,1.422,0.35
62.70,2.63,0.33,0.712,0.870,0.19
6.42,4.98,1.55,2.092,2.212,0.17
14.50,4.42,0.80,0.760,0.963,0.20
7.76,3.65,1.18,1.978,2.091,0.16
12.14,5.39,0.67,0.679,0.794,0.17
21.50,3.48,0.29,0.505,0.627,0.14
6.99,3.87,1.47,1.966,2.183,0.26
7.96,1.67,1.33,3.500,5.910,3.37
6.96,1.97,1.44,3.689,6.069,3.35
8.68,2.89,1.95,3.637,6.200,3.50
13.75,5.45,1.04,6.403,8.020,3.41
